"Ad group","Keyword type","Search Keyword","Campaign","Clicks","Impressions","Cost ($)","Leads","Prospects"
"Pool_Booking_App_Exact","Exact","pool booking app","EK_Generic_Swimming",1,13,11.7,0,0
"Pool_Scheduling_Software_Phrase","Phrase","pool scheduling software","EK_Generic_Swimming",2,8,23.91,0,0
"Pool_Reservation_Software_Broad","Broad","pool reservation software","EK_Generic_Swimming_UK",2,13,4.89,0,0
"Pool_Reservation_Software_Broad","Broad","pool reservation software","EK_Generic_Swimming_Canada",1,2,4.93,0,0
"Reservation_Management_System_Phrase","Phrase","reservation management system","EK_Generic_Tri-Tok_Reservation",1,9,6.08,0,0
"Yoga_Studio_Booking_Software_Broad","Broad","yoga studio booking software","EK_Generic_Quad-Tok_Yoga_Singapore",1,3,6.38,0,0
"Reservation_Management_System_Phrase","Phrase","booking management software","EK_Generic_Tri-Tok_Reservation_UK",2,28,32.1,0,0
"Pool_Scheduling_Software_Phrase","Phrase","pool scheduling software","EK_Generic_Swimming",2,5,13.63,0,0
"Reservation_Management_System_Phrase","Phrase","booking management software","EK_Generic_Tri-Tok_Reservation_Canada",2,11,22.14,0,0
"Pool_Reservation_System_Exact","Exact","pool reservation system","EK_Generic_Swimming",2,12,12.27,0,0
"Reservation_Management_System_Phrase","Phrase","booking management software","EK_Generic_Tri-Tok_Reservation",2,39,28.47,0,0
"Reservation_Management_System_Phrase","Phrase","reservation management system","EK_Generic_Tri-Tok_Reservation",2,25,22.61,0,0
"Yoga_Studio_Booking_Software_Broad","Broad","yoga studio booking software","EK_Generic_Quad-Tok_Yoga",1,161,12.49,0,0
"Pool_Reservation_Software_Broad","Broad","pool reservation software","EK_Generic_Swimming",1,10,3.73,0,0
"Pool_Reservation_Software_Broad","Broad","pool reservation software","EK_Generic_Swimming_UK",1,16,6.37,0,0
"Yoga_Studio_Booking_Software_Exact","Exact","yoga studio booking software","EK_Generic_Quad-Tok_Yoga",1,8,15.11,0,0
"Pool_Booking_App_Exact","Exact","pool booking app","EK_Generic_Swimming",1,12,6.23,0,0
"Yoga_Studio_Booking_Software_Broad","Broad","yoga studio booking software","EK_Generic_Quad-Tok_Yoga",3,144,29.87,0,0
"Pool_Reservation_System_Exact","Exact","pool reservation system","EK_Generic_Swimming",3,15,42.5,0,0
"Reservation_Management_System_Phrase","Phrase","booking management software","EK_Generic_Tri-Tok_Reservation_UK",2,26,32.15,0,0
"Pool_Scheduling_Software_Phrase","Phrase","pool scheduling software","EK_Generic_Swimming",2,6,40.21,0,0
"Swimming_Pool_Booking_System_Exact","Exact","swimming pool booking system","EK_Generic_Swimming_UK",1,5,1.52,0,0
"Reservation_Management_System_Phrase","Phrase","booking management software","EK_Generic_Tri-Tok_Reservation_Singapore",1,3,11.33,0,0
"Reservation_Management_System_Phrase","Phrase","reservation management system","EK_Generic_Tri-Tok_Reservation",1,15,11.47,0,0
"Pool_Reservation_Software_Broad","Broad","pool reservation software","EK_Generic_Swimming",1,19,4.56,0,0
"Pool_Booking_App_Exact","Exact","pool booking app","EK_Generic_Swimming",1,15,5.03,0,0
"Reservation_Management_System_Phrase","Phrase","booking management software","EK_Generic_Tri-Tok_Reservation",1,35,14.46,0,0
"Reservation_Management_System_Phrase","Phrase","booking management software","EK_Generic_Tri-Tok_Reservation_Canada",1,20,10.98,0,0
"Yoga_Studio_Booking_Software_Broad","Broad","yoga studio booking software","EK_Generic_Quad-Tok_Yoga",10,357,92.09,0,0
"Pool_Reservation_Software_Broad","Broad","pool reservation software","EK_Generic_Swimming_UK",8,45,25.33,0,0
"Pool_Reservation_Software_Broad","Broad","pool reservation software","EK_Generic_Swimming",4,30,16,0,0
"Pool_Booking_App_Exact","Exact","pool booking app","EK_Generic_Swimming",3,22,11.59,0,0
"Pool_Scheduling_Software_Phrase","Phrase","pool scheduling software","EK_Generic_Swimming",1,8,17.34,0,0
"Reservation_Management_System_Phrase","Phrase","booking management software","EK_Generic_Tri-Tok_Reservation",1,40,10.35,0,0
"Reservation_Management_System_Phrase","Phrase","reservation management system","EK_Generic_Tri-Tok_Reservation_Canada",1,4,2.22,0,0
"Reservation_Management_System_Phrase","Phrase","booking management software","EK_Generic_Tri-Tok_Reservation_UK",3,21,39.76,0,0
"Pool_Reservation_System_Exact","Exact","pool reservation system","EK_Generic_Swimming",2,8,17.04,0,0
"Pool_Reservation_Software_Broad","Broad","pool reservation software","EK_Generic_Swimming",2,18,8.69,0,0
"Reservation_Management_System_Phrase","Phrase","booking management software","EK_Generic_Tri-Tok_Reservation_Canada",2,10,15.32,0,0
"Pool_Booking_App_Exact","Exact","pool booking app","EK_Generic_Swimming",1,16,10.85,0,0
"Swimming_Pool_Reservation_System_Exact","Exact","swimming pool reservation system","EK_Generic_Swimming",1,1,4.64,0,0
"Reservation_Management_System_Phrase","Phrase","booking management software","EK_Generic_Tri-Tok_Reservation",1,33,13.33,0,0
"Reservation_Management_System_Phrase","Phrase","reservation management system","EK_Generic_Tri-Tok_Reservation_Canada",1,3,10.5,0,0
"Pool_Reservation_Software_Broad","Broad","pool reservation software","EK_Generic_Swimming_UK",1,11,6.83,0,0
"Reservation_Management_System_Phrase","Phrase","reservation management system","EK_Generic_Tri-Tok_Reservation",2,14,16.96,0,0
"Reservation_Management_System_Phrase","Phrase","booking management software","EK_Generic_Tri-Tok_Reservation",2,22,25.75,0,0
"Reservation_Management_System_Phrase","Phrase","booking management software","EK_Generic_Tri-Tok_Reservation_UK",2,20,30.32,0,0
"Reservation_Management_System_Exact","Exact","reservation management system","EK_Generic_Tri-Tok_Reservation_Canada",1,2,5.25,0,0
"Pool_Booking_App_Exact","Exact","pool booking app","EK_Generic_Swimming",1,31,9.46,0,0
"Reservation_Management_System_Phrase","Phrase","booking management software","EK_Generic_Tri-Tok_Reservation_Canada",1,9,11.4,0,0
"Yoga_Studio_Booking_Software_Broad","Broad","yoga studio booking software","EK_Generic_Quad-Tok_Yoga",7,277,52.09,0,0
"Reservation_Management_System_Phrase","Phrase","booking management software","EK_Generic_Tri-Tok_Reservation",4,35,52.37,0,0
"Pool_Reservation_Software_Broad","Broad","pool reservation software","EK_Generic_Swimming_UK",2,15,9.43,0,0
"Pool_Booking_App_Exact","Exact","pool booking app","EK_Generic_Swimming",1,18,1.74,0,0
"Reservation_Management_System_Exact","Exact","reservation management system","EK_Generic_Tri-Tok_Reservation",1,23,5.36,0,0
"Pool_Scheduling_Software_Phrase","Phrase","pool scheduling software","EK_Generic_Swimming",1,3,18.38,0,0
"Reservation_Management_System_Phrase","Phrase","booking management software","EK_Generic_Tri-Tok_Reservation_UK",1,25,9.44,0,0
"Reservation_Management_System_Phrase","Phrase","reservation management system","EK_Generic_Tri-Tok_Reservation",1,13,8.96,0,0
"Pool_Reservation_Software_Broad","Broad","pool reservation software","EK_Generic_Swimming",5,20,22.7,0,0
"Reservation_Management_System_Phrase","Phrase","booking management software","EK_Generic_Tri-Tok_Reservation_Canada",2,20,21.27,0,0
"Reservation_Management_System_Phrase","Phrase","booking management software","EK_Generic_Tri-Tok_Reservation_UK",1,28,11.15,0,0
"Pool_Reservation_Software_Exact","Exact","pool reservation software","EK_Generic_Swimming",1,6,6.61,0,0
"Reservation_Management_System_Phrase","Phrase","booking management software","EK_Generic_Tri-Tok_Reservation",1,27,11.32,0,0
"Reservation_Management_System_Phrase","Phrase","reservation management system","EK_Generic_Tri-Tok_Reservation",1,9,10.62,0,0
"Pool_Reservation_Software_Open_Broad","Broad",NA,"EK_Generic_Swimming",1,3,6.95,0,0
"Reservation_Management_System_Exact","Exact","reservation management system","EK_Generic_Tri-Tok_Reservation",1,13,3.61,0,0
"Pool_Booking_App_Exact","Exact","pool booking app","EK_Generic_Swimming",1,16,3.34,0,0
